question_type,source,question,correct_answer,matched_textbook,top_passages
local,gpt-4o-mini,"A 46-year-old female presents to her primary care physician after noting a lump in her left breast. She reports finding it two months prior to presentation and feels that it has not grown significantly in that time. She denies nipple discharge or tenderness. On exam, she is noted to have a 3-4 cm, rubbery mass in the left breast. Biopsy shows invasive ductal carcinoma that is estrogen receptor positive. Her oncologist prescribes tamoxifen. All of the following are effects of tamoxifen EXCEPT:",Decreased risk of endometrial cancer,InternalMed_Harrison,"Tamoxifen is a partial estrogen receptor antagonist; it has a 10-fold greater antitumor activity in breast cancer patients whose tumors express estrogen receptors than in those who have low or no levels of expression. It might be considered the prototypic “molecularly targeted” agent. Owing to its a | Treatment of breast cancer with tamoxifen for 5 years or longer is associated with a 1–2% risk of endometrial cancer. Surveillance is generally effective at finding these cancers at an early stage. The risk of mortality from tamoxifen-induced endometrial cancer is low compared to the benefit of tamo | Tamoxifen is an antiestrogen with partial estrogen agonistic activity in some tissues, such as endometrium and bone. One of its actions is to upregulate transforming growth factor β, which decreases breast cell proliferation. In randomized placebo-controlled trials to assess tamoxifen as adjuvant th"
global,gpt-4o-mini,"During a clinical study examining the diffusion of gas between the alveolar compartment and the pulmonary capillary blood, men between the ages of 20 and 50 years are evaluated while they hold a sitting position. After inhaling a water-soluble gas that rapidly combines with hemoglobin, the concentration of the gas in the participant's exhaled air is measured and the diffusion capacity is calculated. Assuming that the concentration of the inhaled gas remains the same, which of the following is most likely to increase the flow of the gas across the alveolar membrane?",Treadmill exercise,InternalMed_Harrison,"gAS EXCHANgE Diffusion For oxygen to be delivered to the peripheral tissues, it must pass from alveolar gas into alveolar capillary blood by diffusing through alveolar membrane. The aggregate alveolar membrane is highly optimized for this process, with a very large surface area and minimal thickness | Measurement of gas Exchange • DiFFusing cApAcity (DL co) This test uses a small (and safe) amount of carbon monoxide (CO) to measure gas exchange across the alveolar membrane during a 10-sec breath hold. CO in exhaled breath is analyzed to determine the quantity of CO crossing the alveolar membrane  | In this circumstance, perfusion of relatively underventilated alveoli laries. Because of the differential effects of gravity on lung mechanics and blood flow throughout the lung and because of differences in airway and vascular architecture among various respiratory paths, results in the incomplete"
local,gpt-4o-mini,"A 52-year-old man comes to the physician because of a 4-month history of fatigue, weakness, constipation, decreased appetite, and intermittent flank pain. He takes ibuprofen for knee and shoulder pain. Physical examination shows mild tenderness bilaterally in the costovertebral areas. His serum calcium concentration is 11.2 mg/dL, phosphorus concentration is 2.5 mg/dL, and N-terminal parathyroid hormone concentration is 830 pg/mL. Which of the following steps in vitamin D metabolism is most likely increased in this patient?","25-hydroxycholecalciferol → 1,25-dihydroxycholecalciferol",Biochemistry_Lippincott,"B. Metabolism 1. 1,25-Dihydroxycholecalciferol formation: Vitamins D2 and D3 are not biologically active but are converted in vivo to calcitriol, the active form of the D vitamin, by two sequential hydroxylation reactions (Fig. 28.23). The first hydroxylation occurs at the 25 position and is catalyz | FIGURE 423-5 Schematic representation of the hormonal control loop for vitamin D metabolism and function. A reduction in the serum calcium below ~2.2 mmol/L (8.8 mg/dL) prompts a proportional increase in the secretion of parathyroid hormone (PTH) and so mobilizes additional calcium from the bone. PT | Hypercalcemia in vitamin D intoxication is due to an excessive biologic action of the vitamin, perhaps the consequence of increased levels of 25(OH)D rather than merely increased levels of the active metabolite 1,25(OH)2D (the latter may not be elevated in vitamin D intoxication). 25(OH)D has defini"
local,gpt-4o-mini,"A 5-year-old boy is brought to the pediatric clinic for evaluation of fever, pain, swelling in the left leg, and limping. Review of systems and history is otherwise unremarkable. The vital signs include: pulse 110/min, temperature 38.1°C (100.6°F), and blood pressure 100/70 mm Hg. On examination, there is a tender swelling over the lower part of his left leg. Which 1 of the following X-ray findings is most suggestive of Ewing’s sarcoma?",X-ray showing lytic bone lesion with periosteal reaction,InternalMed_Harrison,"Ewing’s sarcoma, which constitutes ~10–15% of all bone sarcomas, is common in adolescence and has a peak incidence in the second decade of life. It typically involves the diaphyseal region of long bones and also has an affinity for flat bones. The plain radiograph may show a characteristic “onion pe | Soft tissue and Bone Sarcomas and Bone Metastases Shreyaskumar R. Patel, Robert S. Benjamin Sarcomas are rare (<1% of all malignancies) mesenchymal neoplasms that arise in bone and soft tissues. These tumors are usually of meso-119e dermal origin, although a few are derived from neuroectoderm, and t | Common fracture sites are the femoral shaft and subtrochanteric regions. Neoplasms arising from pagetic bone are rare (<0.5%). The incidence of sarcoma appears to be decreasing, possibly because of earlier, more effective treatment with potent antiresorptive agents. The majority of tumors are osteos"
local,gpt-4o-mini,"Two days after hospital admission, a 32-year-old woman with breast cancer is visited by the attending physician in the presence of medical students. She has limited English proficiency. The attending physician describes the situation to the patient in English, and the patient nods understandably. Subsequently, the attending physician pulls down the patient’s hospital gown and exposes her breasts. The patient is clearly shocked and upset. Her unease grows as the attending physician starts to palpate her breasts and she pulls up her gown in disbelief. Which of the following actions is most likely to improve similar miscommunications in the future?",Hiring a qualified medical interpreter in patients’ native languages,InternalMed_Harrison,"In addition, in the setting of even a minimal language barrier, provider–patient communication without an interpreter is recognized as a major challenge to effective health care delivery. These communication barriers for patients with limited English proficiency lead to frequent misunderstanding of  | SUPPORT FOR THE USE OF LANGUAGE INTERPRETATION SERVICES IN THE CLINICAL SETTING As described previously, a lack of efficient and effective interpreter services in a health care system can lead to patient dissatisfaction, to poor comprehension and adherence, and thus to ineffective/lower-quality care | A survey of 6722 Americans ≥18 years of age is particularly relevant to this important link between provider–patient communication and health outcomes. Whites, blacks, Hispanics/Latinos, and Asian Americans who had made a medical visit in the past 2 years were asked whether they had trouble understa"
local,gpt-4o-mini,"A 45-year-old man presents for a routine checkup. He says he has arthralgia in his hands and wrists. No significant past medical history. The patient takes no current medications. Family history is significant for his grandfather who died of liver cirrhosis from an unknown disease. He denies any alcohol use or alcoholism in the family. The patient is afebrile and vital signs are within normal limits. On physical examination, there is bronze hyperpigmentation of the skin and significant hepatomegaly is noted. The remainder of the exam is unremarkable. Which of the following is true about this patient’s most likely diagnosis?","A triad of cirrhosis, diabetes mellitus, and skin pigmentation is characteristic",InternalMed_Harrison,"The association of (1) hepatomegaly, (2) skin pigmentation, (3) diabetes mellitus, (4) heart disease, (5) arthritis, and (6) hypogonadism should suggest the diagnosis. However, as stated above, significant iron overload may exist with none or only some of these manifestations. Therefore, a high inde | Correct answer = B. The patient has hereditary hemochromatosis, a disease of iron overload that results from inappropriately low levels of hepcidin caused primarily by mutations to the HFE (high iron) gene. Hepcidin regulates ferroportin, the only known iron export protein in humans, by increasing i | The history should be particularly detailed in regard to disease in other family members; alcohol ingestion; iron intake; and ingestion of large doses of ascorbic acid, which promotes iron absorption (Chap. 96e). Appropriate tests should be performed to exclude iron deposition due to hematologic dis"
local,gpt-4o-mini,"A 28-year-old man comes to the physician for a follow-up examination after a previous visit showed an elevated serum calcium level. He has a history of bipolar disorder. His mother had a parathyroidectomy in her 30s. The patient does not drink alcohol or smoke. Current medications include lithium and a daily multivitamin. His vital signs are within normal limits. Physical examination shows no abnormalities. Laboratory studies show: Serum Sodium 146 mEq/L Potassium 3.7 mEq/L Calcium 11.2 mg/dL Magnesium 2.3 mEq/L PTH 610 pg/mL Albumin 4.2 g/dL 24-hour urine Calcium 23 mg Which of the following is the most likely cause of this patient’s findings?""",Abnormal calcium sensing receptors,InternalMed_Harrison,"At the levels achieved in blood in treated patients, lithium can be shown in vitro to shift the PTH secretion curve to the right in response to calcium; i.e., higher calcium levels are required to lower PTH secretion, probably acting at the calcium sensor (see below). This effect can cause elevated  | OTHER PARATHYROID-RELATED CAUSES OF HYPERCALCEMIA Lithium Therapy Lithium, used in the management of bipolar depression and other psychiatric disorders, causes hypercalcemia in ~10% of treated patients. The hypercalcemia is dependent on continued lithium treatment, remitting and recurring when lithi | FIGURE 424-4 Levels of immunoreactive parathyroid hormone (PTH) detected in patients with primary hyperparathyroidism, hypercalcemia of malignancy, and hypoparathyroidism. Boxed area represents the upper and normal limits of blood calcium and/or immunoreactive PTH. (From SR Nussbaum, JT Potts, Jr, i"
local,gpt-4o-mini,A 70-year-old women presents to her primary care physician with sudden episodes of dizziness that resolve in certain positions. On further questioning she describes a false sense of motion with occasional spinning sensation consistent with vertigo. She denies any recent illnesses or hearing loss aside from presbycusis. Her vital signs are normal. During the physical exam the the patient reports an episode of vertigo after transitioning from sitting to supine and horizontal nystagmus is concurrently noted. What is the mostly likely diagnosis?,Benign Paroxysmal Positional Vertigo (BPPV),InternalMed_Harrison,"Vestibular disorders (Chap. 28) have symptoms and signs that fall into three categories: (1) vertigo (the subjective inappropriate perception or illusion of movement); (2) nystagmus (involuntary eye movements); and (3) impaired standing balance. Not every patient has all manifestations. Patients wit | All patients with episodic dizziness, especially if provoked by positional change, should be tested with the Dix-Hallpike maneu ver. The patient begins in a sitting position with the head turned fEATuRES of PERiPHERAL AnD CEnTRAL vERTigo • Nystagmus from an acute peripheral lesion is unidirectional, | VESTIBULAR NYSTAgMUS Vestibular nystagmus results from dysfunction of the labyrinth (Ménière’s disease), vestibular nerve, or vestibular nucleus in the brainstem. Peripheral vestibular nystagmus often occurs in discrete attacks, with symptoms of nausea and vertigo. There may be associated tinnitus a"
local,gpt-4o-mini,"A 35-year-old man with no known past medical history presents to his physician because he is applying for a job as a healthcare worker, which requires screening for the hepatitis B virus (HBV). The patient states that he is in good health and denies any symptoms. His vital signs and physical exam are unremarkable. Labs are drawn, and the patient's HBV serology shows the following: HBsAg: positive anti-HBsAg antibody: negative HBcAg: positive anti-HBcAg IgM: negative anti-HBcAg IgG: positive HBeAg: negative anti-HBeAg antibody: positive Which of the following best describes this patient's results?","Chronically infected, low infectivity",InternalMed_Harrison,"In patients with hepatitis B surface antigenemia of unknown duration (e.g., blood donors found to be HBsAg-positive) testing for IgM anti-HBc may be useful to distinguish between acute or recent infection (IgM anti-HBc-positive) and chronic HBV infection (IgM antiHBc-negative, IgG anti-HBc-positive) | A diagnostic algorithm can be applied in the evaluation of cases of acute viral hepatitis. A patient with acute hepatitis should undergo four serologic tests, HBsAg, IgM anti-HAV, IgM anti-HBc, and anti-HCV (Table 360-6). The presence of HBsAg, with or without IgM anti-HBc, represents HBV infection. | Anti-HBs is rarely detectable in the presence of HBsAg in patients with acute hepatitis B, but 10–20% of persons with chronic HBV infection may harbor low-level anti-HBs. This antibody is directed not against the common group determinant, a, but against the heterotypic subtype determinant (e.g., HBs"
global,gpt-4o-mini,"A prospective cohort study is conducted to evaluate the risk of pleural mesothelioma in construction workers exposed to asbestos in Los Angeles. Three hundred construction workers reporting current occupational asbestos exposure were followed alongside 300 construction workers without a history of asbestos exposure. After 8 years of follow-up, no statistically significant difference in the incidence of pleural mesothelioma was observed between the two groups (p = 0.13), even after controlling for known mesothelioma risk factors such as radiation, age, and sex. Which of the following is the most likely explanation for the observed results of this study?",Latency period,InternalMed_Harrison,"Because epidemiologic studies have shown that >80% of mesotheliomas may be associated with asbestos exposure, documented mesothelioma in a patient with occupational or environmental exposure to asbestos may be compensable. | Mesotheliomas (Chap. 316), both pleural and peritoneal, are also associated with asbestos exposure. In contrast to lung cancers, these tumors do not appear to be associated with smoking. Relatively short-term asbestos exposures of ≤1–2 years, occurring up to 40 years in the past, have been associate | Lung cancer (Chap. 107) is the most common cancer associated with asbestos exposure. The excess frequency of lung cancer (all histologic types) in asbestos workers is associated with a minimum latency of 15–19 years between first exposure and development of the disease. Persons with more exposure ar"
local,gpt-4o-mini,"A 16-year-old woman with no known past medical history and non-significant social and family histories presents to the outpatient clinic for an annual wellness checkup. She has no complaints, and her review of systems is negative. She is up to date on her childhood and adolescent vaccinations. The patient's blood pressure is 120/78 mm Hg, pulse is 82/min, respiratory rate is 16/min, and temperature is 37.0°C (98.6°F). On further questioning, she discloses that she has recently become sexual active and enquires about any necessary screening tests for cervical cancer. What is the appropriate recommendation regarding cervical cancer screening in this patient?",Begin 3-year interval cervical cancer screening via Pap smear at age 21,InternalMed_Harrison,"The primary method used for cancer screening is cervical cytology via Pap smear. The guidelines of the American Society of Colposcopy and Cervical Pathology recommend initiation of cervical cancer screening at age 21, regardless of the age of sexual debut. Women 21–29 years old with a normal Pap sme | cervical cancer Screening with Papanicolaou (Pap) smears decreases cervical cancer mortality. The cervical cancer mortality rate has fallen substantially since the widespread use of the Pap smear. With the onset of sexual activity comes the risk of sexual transmission of HPV, the fundamental etiolog | Approximately 95% of all cervical cancer is caused by human papillomavirus (HPV) infections, with types 16 and 18 accounting for about 70% of cervical cancer. The rate of carriage of these serotypes is highest among women in their early twenties and can be reduced with the use of vaccination before"
local,gpt-4o-mini,"An 85-year-old woman presents to her physician with complaints of significant weakness and weight loss. She recently has been diagnosed with stage IV breast cancer for which she currently is receiving treatment. She mentions that, despite taking a diet rich in protein and calories, she continues to lose weight. On physical examination, her vital signs are stable, but muscle wasting is clearly evident in her upper limbs, lower limbs, and face. The physician explains to her that her advanced cancer is the most important cause for the weight loss and muscle wasting. This cachexia is mediated by the proteolysis-inducing factor released from cancer cells. Which of the following effects is produced by this factor?",Activation of NF-κB,InternalMed_Harrison,"Nutrition Cancer and its treatment may lead to a decrease in nutrient intake of sufficient magnitude to cause weight loss and alteration of intermediary metabolism. The prevalence of this problem is difficult to estimate because of variations in the definition of cancer cachexia, but most patients w | Disorders of the mouth and teeth one-third lose more than 5% of their original body weight, and up to 20% 275 of all cancer deaths are caused directly by cachexia (through immobility and/or cardiac/respiratory failure). The greatest incidence of weight loss is seen among patients with solid tumors.  | The role of diet in breast cancer etiology is controversial. While there are associative links between total caloric and fat intake and breast cancer risk, the exact role of fat in the diet is unproven. Increased caloric intake contributes to breast cancer risk in multiple ways: earlier menarche, la"
local,gpt-4o-mini,"A 24-year-old man is running a marathon. Upon reaching the finish line, his serum lactate levels were measured and were significantly increased as compared to his baseline. Which of the following pathways converts the lactate produced by muscles into glucose and transports it back to the muscles?",Cori cycle,Biochemistry_Lippincott,"Resting muscle switches from glucose to FA as its major fuel source in fasting. [Note: By contrast, exercising muscle initially uses creatine phosphate and its glycogen stores. During intense exercise, glucose 6-phosphate from glycogenolysis is converted to lactate by anaerobic glycolysis (see p. 11 | Lactate from anaerobic glycolysis is released into the blood by exercising skeletal muscle and by cells that lack mitochondria such as RBC. In the Cori cycle, this lactate is taken up by the liver and oxidized to pyruvate that is converted to glucose, which is released back into the circulation (Fig | Lactate utilization: The direction of the LDH reaction depends on the relative intracellular concentrations of pyruvate and lactate and on the ratio of NADH/NAD+. For example, in the liver and heart, this ratio is lower than in exercising muscle. Consequently, the liver and heart oxidize lactate (ob"
local,gpt-4o-mini,"A 37-year-old-man presents to the clinic for a 2-month follow-up. He is relatively healthy except for a 5-year history of hypertension. He is currently on lisinopril, amlodipine, and hydrochlorothiazide. The patient has no concerns and denies headaches, weight changes, fever, chest pain, palpitations, vision changes, or abdominal pain. His temperature is 98.9°F (37.2°C), blood pressure is 157/108 mmHg, pulse is 87/min, respirations are 15/min, and oxygen saturation is 98% on room air. Laboratory testing demonstrates elevated plasma aldosterone concentration and low renin concentration. What is the most likely explanation for this patient’s presentation?",Aldosterone-producing adenoma,InternalMed_Harrison,"Excess aldosterone production due to primary aldosteronism is a potentially curable form of hypertension. In patients with primary aldosteronism, increased aldosterone production is independent of the renin-angiotensin system, and the consequences are sodium retention, hypertension, hypokalemia, and | When plasma renin activity (PRA) is plotted against 24-h sodium excretion, ~10–15% of hypertensive patients have high PRA and 25% have low PRA. High-renin patients may have a vasoconstrictor form of hypertension, whereas low-renin patients may have volume-dependent hypertension. Inconsistent associa | The ratio of plasma aldosterone to plasma renin activity (PA/ PRA) is a useful screening test. These measurements preferably are obtained in ambulatory patients in the morning. A ratio >30:1 in conjunction with a plasma aldosterone concentration >555 pmol/L (>20 ng/dL) reportedly has a sensitivity o"
local,gpt-4o-mini,"An otherwise healthy 49-year-old man presents to his primary care physician for follow-up for a high HbA1C. 3 months ago, his HbA1c was 8.9% on routine screening. Today, after lifestyle modifications, it is 8.1% and his serum glucose is 270 mg/dL. Which of the following is the best initial therapy for this patient's condition?",Metformin,InternalMed_Harrison,"Insulin + metformin Reassess HbA1c Reassess HbA1c Reassess HbA1c Combination therapy -metformin + second agent Combination therapy -metformin + two other agents FIGURE 418-3 Glycemic management of type 2 diabetes. See text for discussion of treatment of severe hyperglycemia or symptomatic hyperglyce | Treatment algorithms by several professional societies (ADA/ European Association for the Study of Diabetes [EASD], IDF, AACE) suggest metformin as initial therapy because of its efficacy, known side effect profile, and low cost (Fig. 418-3). Metformin’s advantages are that it promotes mild weight l | comBination tHerapy WitH GlucoSe-loWerinG aGentS A number of combinations of therapeutic agents are successful in type 2 DM (metformin + second oral agent, metformin + GLP-1 receptor agonist, or metformin + insulin), and the dosing of agents in combination is the same as when the agents are used alo"
local,gpt-4o-mini,"An 11-year-old boy is brought to the emergency department with sudden and severe pain in the left scrotum that started 2 hours ago. He has vomited twice. He has no dysuria or frequency. There is no history of trauma to the testicles. The temperature is 37.7°C (99.9°F). The left scrotum is swollen, erythematous, and tender. The left testis is elevated and swollen with a transverse lie. The cremasteric reflex is absent. Ultrasonographic examination is currently pending. Which of the following is the most likely diagnosis?",Testicular torsion,InternalMed_Harrison,"the second or third decade of life and produces a sudden onset of pain, elevation of the testicle within the scrotal sac, rotation of the epididymis from a posterior to an anterior position, and absence of blood flow on Doppler examination or 99mTc scan. Persistence of symptoms after a course of the | Epididymo-orchitis is the next most common manifestation of mumps, developing in 15–30% of cases in postpubertal males, with bilateral involvement in 10–30% of those cases. Orchitis, accompanied by fever, typically occurs during the first week of parotitis but can develop up to 6 weeks after parotit | Acquired Testicular Defects Viral orchitis may be caused by the mumps virus, echovirus, lymphocytic choriomeningitis virus, and group B arboviruses. Orchitis occurs in as many as one-fourth of adult men with mumps; the orchitis is unilateral in about two-thirds and bilateral in the remainder. Orchit"
local,gpt-4o-mini,"A 22-year-old man presents with a history of lightheadedness, weakness, and palpitations when he assumes an upright position from a supine position. He is otherwise a healthy man without a history of alcohol or other substance abuse. His supine and standing blood pressures (measured at 3-minute intervals) were 124/82 mm Hg and 102/72 mm Hg, respectively. He was advised to perform a Valsalva maneuver while monitoring blood pressure and heart rate to assess the integrity of his baroreflex control. Which of the following statements is correct?","During late phase II, there is an increase in both blood pressure and heart rate",InternalMed_Harrison,"Valsalva Response This response (Table 454-7) assesses the integrity of the baroreflex control of heart rate (parasympathetic) and BP (adrenergic). Under normal conditions, increases in BP at the carotid bulb trigger a reduction in heart rate (increased vagal tone), and decreases in BP trigger an in | Autonomic function during the Valsalva maneuver can be measured using beat-to-beat BP or heart rate changes. The Valsalva ratio is defined as the maximum phase II tachycardia divided by the minimum phase IV bradycardia (Table 454-8). The ratio reflects the integrity of the entire baroreceptor reflex | Several reflexes modulate blood pressure on a minute-to-minute basis. One arterial baroreflex is mediated by stretch-sensitive sensory nerve endings in the carotid sinuses and the aortic arch. The rate of firing of these baroreceptors increases with arterial pressure, and the net effect is a decreas"
local,gpt-4o-mini,A 45-year-old woman undergoes endoscopic retrograde cholangiopancreatography (ERCP) for evaluation of suspected biliary strictures. The ERCP identifies 2 ducts in the pancreas (a small ventral duct and a larger dorsal duct). A diagnosis of a congenital pancreatic anomaly is made. Which of the following statements best describes this anomaly?,Magnetic resonance cholangiopancreatography (MRCP) scanning of the abdomen is the most sensitive non-invasive diagnostic technique for this condition,InternalMed_Harrison,"FIGURE 370-1 A stepwise diagnostic approach to the patient with suspected chronic pancreatitis (CP). Endoscopic ultrasonography (EUS) and magnetic resonance cholangiopancreatography (sMRCP/MRCP) are appropriate diagnostic alternatives to endoscopic retrograde cholangiopancreatography (ERCP). CT, com | sis, it rarely identifies the site or cause of obstruction. The distal common bile duct is a particularly difficult area to visual ize by ultrasound because of overlying bowel gas. Appropriate next tests include CT, magnetic resonance cholangiopancreatog raphy (MRCP), endoscopic retrograde cholangio | FIGURE 369-2 Examples of ultrasound and radiologic studies of the biliary tract. A. An ultrasound study showing a distended gallbladder (GB) containing a single large stone (arrow), which casts an acoustic shadow. B. Endoscopic retrograde cholangiopancreatogram (ERCP) showing normal biliary tract an"
global,gpt-4o-mini,An investigator is attempting to assess the glomerular filtration rate (GFR) of a healthy adult volunteer. The volunteer's inulin clearance is evaluated under continuous inulin infusion and urine collection and compared to the creatinine clearance. It is found that the estimated GFR based on the volunteer's creatinine clearance is 129 mL/min and the estimated GFR calculated using the inulin clearance is 122 mL/min. Which of the following is the best explanation for the difference in these measurements?,Creatinine is actively secreted,InternalMed_Harrison,"range for this analyte when attempting to gauge a patient’s renal function. A large decrease in glomerular filtration rate (GFR) is associated with slight increases in the plasma creatinine concentration within the typical reference range provided by many laboratories (Fig. 480e-2). A 60-year-old wh | There are limitations to all creatinine-based estimates of GFR. Each equation, along with 24-h urine collection for measurement of creatinine clearance, is based on the assumption that the patient is in steady state, without daily increases or decreases in PCr as a result of rapidly changing GFR. Th | Monitoring the GFR is important in both hospital and outpatient settings, and several different methodologies are available. GFR is the primary metric for kidney “function,” and its direct measurement involves administration of a radioactive isotope (such as inulin or iothalamate) that is filtered a"
global,gpt-4o-mini,"A group of investigators is studying thermoregulatory adaptations of the human body. A subject is seated in a thermally insulated isolation chamber with an internal temperature of 48°C (118°F), a pressure of 1 atmosphere, and a relative humidity of 10%. Which of the following is the primary mechanism of heat loss in this subject?",Evaporation,InternalMed_Harrison,"Normally, the body dissipates heat into the environment via four mechanisms. The evaporation of skin moisture is the single most efficient mechanism of heat loss but becomes progressively ineffective as the relative humidity rises to >70%. The radiation of infrared electromagnetic energy directly in | Heat loss occurs through five mechanisms: radiation (55–65% of heat loss), conduction (10–15% of heat loss, much increased in cold water), convection (increased in the wind), respiration, and evaporation; both of the latter two mechanisms are affected by the ambient temperature and the relative humi | Factors that interfere with the evaporation of diaphoresis significantly increase the risk of heat illness. Examples include dripping of sweat off the skin, constrictive or occlusive clothing, dehydration, and excessive humidity. While air is an effective insulator, the thermal conductivity of water"
local,gpt-4o-mini,"A 15-year-old boy is brought to the physician by his father because he has been waking up frequently during the night to urinate. Apart from occasional headaches, he has no other complaints. His family recently emigrated from Tanzania and his medical history is unknown. His father was diagnosed with sickle cell disease at the age of 5. Physical examination shows no abnormalities. Laboratory studies show: Hemoglobin 14.5 g/dL Hematocrit 44% MCV 90 fL Reticulocytes 1.5% A hemoglobin electrophoresis shows: HbA 55% HbS 43% HbF 1% This patient is at greatest risk for which of the following conditions?""",Renal papillary necrosis,InternalMed_Harrison,"Diagnosis Sickle cell syndromes are suspected on the basis of hemolytic anemia, RBC morphology (Fig. 127-4), and intermittent episodes of ischemic pain. Diagnosis is confirmed by hemoglobin electrophoresis, mass spectroscopy, and the sickling tests already discussed. Thorough characterization of the | Sickle cell syndromes are remarkable for their clinical heterogeneity. Some patients remain virtually asymptomatic into or even through adult life, while others suffer repeated crises requiring hospitalization from early childhood. Patients with sickle thalassemia and sickle-HbE tend to have similar | Although individuals with SA-hemoglobin are usually asymptomatic, most will gradually develop hyposthenuria due to subclinical infarction of the renal medulla, thus predisposing them to volume depletion. There is an unexpectedly high prevalence of sickle trait among dialysis patients who are African"
global,gpt-4o-mini,"To maintain blood glucose levels even after glycogen stores have been depleted, the body, mainly the liver, is able to synthesize glucose in a process called gluconeogenesis. Which of the following reactions of gluconeogenesis requires an enzyme different from glycolysis?","Fructose 1,6-bisphosphate --> Fructose-6-phosphate",Biochemistry_Lippincott,"Glucose 1-phosphate, produced by glycogen phosphorylase, is isomerized in the cytosol to glucose 6-phosphate by phosphoglucomutase (see Fig. 11.6). In the liver, glucose 6-phosphate is transported into the endoplasmic reticulum (ER) by glucose 6-phosphate translocase. There, it is dephosphorylated t | Gluconeogenic precursors include glycerol released during triacylglycerol hydrolysis in adipose tissue, lactate released by cells that lack mitochondria and by exercising skeletal muscle, and α-keto acids (for example, αketoglutarate and pyruvate) derived from glucogenic amino acid metabolism (Fig.  | Of the 11 reactions required to convert pyruvate to free glucose, 7 are catalyzed by reversible glycolytic enzymes (Fig. 10.7). The 3 irreversible reactions (catalyzed by hexokinase/glucokinase, PFK-1, and PK) are circumvented by reactions catalyzed by glucose 6-phosphatase, fructose 1,6-bisphosphat"
local,gpt-4o-mini,A 27-year-old man presents to a physician for evaluation of 3 months of increased vertigo. He says that occasionally he will experience several seconds of intense vertigo that makes him lose his balance. He came in for evaluation because this symptom is affecting his ability to drive to work. He has also been occasionally experiencing tinnitus. Physical exam reveals rotatory nystagmus that is delayed in onset and stops with visual fixation. The nerve that is most likely causing these symptoms exits the skull at which of the following locations?,Internal auditory meatus,InternalMed_Harrison,"VESTIBULAR NYSTAgMUS Vestibular nystagmus results from dysfunction of the labyrinth (Ménière’s disease), vestibular nerve, or vestibular nucleus in the brainstem. Peripheral vestibular nystagmus often occurs in discrete attacks, with symptoms of nausea and vertigo. There may be associated tinnitus a | Symptoms that accompany vertigo may be helpful in distinguishing peripheral vestibular lesions from central causes. Unilateral hearing loss and other aural symptoms (ear pain, pressure, fullness) typically point to a peripheral cause. Because the auditory pathways quickly become bilateral upon enter | When a patient presents with an acute vestibular syndrome, the most important question is whether the lesion is central (e.g., a cerebellar or brainstem infarct or hemorrhage), which may be life-threatening, or peripheral, affecting the vestibular nerve or labyrinth (vestibular neuritis). Attention"
global,gpt-4o-mini,"A molecular biologist is studying the roles of different types of ion channels regulating cardiac excitation. He identifies a voltage-gated calcium channel in the sinoatrial node, which is also present throughout the myocardium. The channel is activated at ~ -40 mV of membrane potential, undergoes voltage-dependent inactivation, and is highly sensitive to nifedipine. Which of the following phases of the action potential in the sinoatrial node is primarily mediated by ion currents through the channel that the molecular biologist is studying?",Phase 0,InternalMed_Harrison,"FIGURE 273e-1 A. Cellular atrial and ventricular action potentials. Phases 0–4 are the rapid upstroke, early repolarization, plateau, late repolarization, and diastole, respectively. The ionic currents and their respective genes are shown above and below the action potentials. The currents that unde | PART 10 Disorders of the Cardiovascular System 273e-2 proteins that passively conduct ions down their electrochemical gradients through selective pores (ion channels), actively transport ions against their electrochemical gradient (pumps, transporters), or electrogenically exchange ionic species (ex | Blockade of fast sodium membrane channels prolongs phase 0 (depolarization) of the cardiac action potential, which prolongs QRS duration and promotes reentrant (monomorphic) ventricular tachycardia. Class Ia, Ic, and III antiarrhythmics also block potassium channels during phases 2 and 3 (repolariza"
local,gpt-4o-mini,"A 23-year-old male presents with complaints of polydipsia and frequent, large-volume urination. Laboratory testing does not demonstrate any evidence of diabetes; however, a reduced urine osmolality of 120 mOsm/L is measured. Which of the following findings on a desmopressin test would be most consistent with a diagnosis of central diabetes insipidus?",Increase in urine osmolality to 400 mOsm/L following vasopressin administration,InternalMed_Harrison,"DIABETES INSIPIDUS Clinical Characteristics A decrease of 75% or more in the secretion or action of AVP usually results in DI, a syndrome characterized by the production of abnormally large volumes of dilute urine. The 24-h urine volume exceeds 50 mL/kg body weight, and the osmolarity is less than 3 | POLYURIA (>3 L/24 h) Urine osmolality < 250 mosmol History, low serum sodium Water deprivation test or ADH level Primary polydipsia Psychogenic Hypothalamic disease Drugs (thioridazine, chlorpromazine, anticholinergic agents) > 300 mosmol Diabetes insipidus (DI) | FIGURE 404-4 Simplified approach to the differential diagnosis of diabetes insipidus. When symptoms suggest diabetes insipidus (DI), the syndrome should be differentiated from a genitourinary (GU) abnormality by measuring the 24-h urine volume and osmolarity on unrestricted fluid intake. If DI is co"
